Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Higher_Education,Year_of_Hire,Date_of_termination,Status_of_leaving,Mode_of_work,Leaves,Absenteeism,Work_accident,Source_of_Hire,Job_mode
37,yes,Travel_Rarely,Research & Development,2,Male,2,1,LT,3,Single,2090,6,yes,15,3,0,7,3,0,0,0,Graduation,2021,,Salary,OFFICE,4,2,no,Job Event,Contract
21,no,Travel_Rarely,Research & Development,15,Male,3,1,RS,4,Single,1232,1,no,14,3,0,0,6,0,0,0,Graduation,2021,,Work Accident,WFH,5,2,no,Recruiter,Part Time
45,no,Travel_Rarely,Research & Development,6,Male,3,3,RD,1,Married,13245,4,yes,14,3,0,17,3,0,0,0,Post-Graduation,2021,,Dept.Head,WFH,1,3,no,Job Event,Contract
23,no,Travel_Rarely,Sales,2,Male,3,1,SRep,1,Divorced,2322,3,no,13,3,1,3,3,0,0,0,PHD,2021,,Work Accident,OFFICE,1,0,yes,Recruiter,FullTime
22,no,Travel_Rarely,Research & Development,15,Female,3,1,LT,4,Single,2871,1,no,15,3,0,1,5,0,0,0,PHD,2021,,Better Opportunity,WFH,5,2,no,Job Event,Contract
19,yes,Travel_Rarely,Sales,22,Male,3,1,SRep,3,Single,1675,1,yes,19,3,0,0,2,0,0,0,PHD,2021,,Work Accident,WFH,1,1,yes,Job Portal,Part Time
19,yes,Travel_Frequently,Sales,1,Female,1,1,SRep,1,Single,2325,0,no,21,4,0,1,5,0,0,0,PHD,2021,,Work Accident,WFH,2,2,no,Walk-in,Contract
28,yes,Travel_Rarely,Research & Development,2,Male,3,1,LT,3,Single,3485,2,no,11,3,0,5,5,0,0,0,Post-Graduation,2021,,Work Environment,WFH,0,2,no,Walk-in,Contract
29,no,Travel_Rarely,Sales,2,Male,2,2,SE,2,Married,6644,2,no,19,3,2,10,2,0,0,0,Graduation,2021,,Better Opportunity,OFFICE,5,2,no,Walk-in,Part Time
18,yes,Travel_Rarely,Research & Development,3,Male,3,1,LT,3,Single,1420,1,no,13,3,0,0,2,0,0,0,PHD,2021,,Work Environment,WFH,5,2,no,Walk-in,FullTime
18,no,Travel_Rarely,Sales,10,Female,2,1,SRep,3,Single,1200,1,no,12,3,0,0,2,0,0,0,12th,2021,,Work Environment,WFH,1,2,yes,Job Portal,FullTime
47,no,Travel_Frequently,Sales,4,Male,3,2,SRep,3,Single,2976,3,no,19,3,0,5,3,0,0,0,12th,2021,,Work Environment,WFH,5,0,yes,Walk-in,FullTime
48,no,Travel_Rarely,Sales,29,Female,3,3,Mngr,3,Married,12504,3,no,21,4,1,15,3,0,0,0,PHD,2021,,Work Accident,WFH,1,2,yes,Job Event,Part Time
18,yes,Travel_Frequently,Sales,5,Male,3,1,SRep,2,Single,1878,1,yes,14,3,0,0,3,0,0,0,Post-Graduation,2021,,Work Environment,WFH,3,2,no,Job Portal,FullTime
26,no,Travel_Rarely,Sales,29,Male,3,2,SE,3,Divorced,4306,5,no,12,3,2,8,5,0,0,0,Graduation,2021,,Dept.Head,WFH,0,3,yes,Job Event,Part Time
38,no,Travel_Rarely,Research & Development,1,Female,3,1,RS,1,Single,2619,3,no,17,3,0,8,3,0,0,0,Graduation,2021,,Dept.Head,WFH,2,3,no,Walk-in,FullTime
34,no,Travel_Rarely,Research & Development,8,Female,3,2,MD,1,Divorced,5121,3,no,14,3,1,7,3,0,0,0,12th,2021,,Salary,WFH,3,0,no,Job Portal,Part Time
23,yes,Travel_Rarely,Research & Development,6,Male,4,1,LT,1,Married,1601,1,yes,21,4,2,1,2,0,0,0,Graduation,2021,,Dept.Head,OFFICE,2,1,yes,Job Event,Part Time
30,no,Travel_Rarely,Research & Development,2,Female,2,2,MD,4,Single,6877,5,yes,24,4,0,12,4,0,0,0,Graduation,2021,,Work Environment,WFH,3,3,yes,Job Event,Part Time
27,no,Non-Travel,Research & Development,3,Male,3,1,RS,4,Married,1706,1,no,11,3,3,0,6,0,0,0,Graduation,2021,,Dept.Head,OFFICE,3,2,no,Job Portal,Contract
48,no,Travel_Rarely,Research & Development,20,Male,3,1,RS,3,Married,2259,4,no,17,3,2,13,2,0,0,0,Post-Graduation,2021,,Dept.Head,WFH,0,2,yes,Walk-in,FullTime
29,yes,Travel_Rarely,Research & Development,10,Female,2,1,RS,1,Single,2404,6,yes,20,4,0,3,5,0,0,0,12th,2021,,Salary,WFH,1,0,no,Job Portal,FullTime
18,no,Non-Travel,Research & Development,5,Male,3,1,RS,4,Single,1051,1,no,15,3,0,0,2,0,0,0,Post-Graduation,2021,,Dept.Head,WFH,3,0,no,Job Portal,FullTime
50,yes,Travel_Frequently,Sales,1,Male,3,2,SE,3,Single,4728,3,yes,14,3,0,5,4,0,0,0,Graduation,2021,,Dept.Head,OFFICE,1,3,no,Recruiter,Part Time
34,no,Non-Travel,Research & Development,3,Male,2,1,RS,4,Married,2979,3,no,17,3,3,6,2,0,0,0,12th,2021,,Work Environment,WFH,0,2,no,Recruiter,Contract
18,yes,Non-Travel,Research & Development,8,Male,3,1,LT,3,Single,1904,1,no,12,3,0,0,0,0,0,0,PHD,2021,,Work Accident,OFFICE,5,3,no,Recruiter,FullTime
22,yes,Travel_Frequently,Research & Development,3,Male,2,1,RS,4,Married,2853,0,yes,11,3,1,1,5,0,0,0,12th,2021,,Dept.Head,WFH,5,1,no,Walk-in,FullTime
44,no,Non-Travel,Research & Development,17,Male,1,1,RS,3,Single,2290,2,no,13,3,0,6,3,0,0,0,PHD,2021,,Work Accident,WFH,1,3,no,Recruiter,Contract
40,no,Travel_Frequently,Sales,2,Male,3,2,SE,2,Married,4327,5,no,12,3,3,5,2,0,0,0,Post-Graduation,2021,,Salary,WFH,2,3,yes,Walk-in,FullTime
45,no,Travel_Frequently,Research & Development,25,Female,3,5,Mngr,2,Single,18061,3,no,22,4,0,22,4,0,0,0,12th,2021,,Work Accident,OFFICE,4,3,yes,Job Portal,Contract
18,no,Non-Travel,Research & Development,1,Female,3,1,LT,4,Single,1611,1,no,15,3,0,0,5,0,0,0,12th,2021,,Salary,WFH,1,3,yes,Job Event,Part Time
24,yes,Travel_Frequently,Research & Development,9,Male,3,1,LT,1,Single,3172,2,yes,11,3,0,4,2,0,0,0,Graduation,2021,,Work Environment,OFFICE,5,2,yes,Job Event,Part Time
28,yes,Travel_Frequently,Research & Development,2,Male,2,1,LT,1,Single,2561,7,no,11,3,0,8,2,0,0,0,12th,2021,,Dept.Head,WFH,5,0,no,Job Event,FullTime
33,no,Travel_Rarely,Research & Development,8,Male,3,2,HCR,3,Single,6388,2,yes,17,3,0,14,6,0,0,0,Graduation,2021,,Work Accident,OFFICE,3,3,no,Job Portal,FullTime
18,yes,Travel_Frequently,Sales,3,Female,3,1,SRep,4,Single,1569,1,yes,12,3,0,0,2,0,0,0,12th,2021,,Dept.Head,OFFICE,0,1,no,Recruiter,Part Time
